start	end	text
0	7240	So this is the start of a project rather ambitious idea, just an experiment, but
7240	14080	one that I'm pretty excited about. The idea is one that I've had for a while since
14080	23080	I saw this robot at my favorite local thrift store. It was in the expensive
23080	34720	boutique section, so I did pay like $45 for it, but I think it was worth it. Currently
34720	41840	I have it a little bit disassembled, but basically it's just missing an arm. Otherwise
41840	46120	that's more or less what it looks like. The head is currently detached and I've
46120	59880	done more disassembly internally, but this is basically the idea. It's circa maybe 80s or 90s
59880	75280	toy that, oh, actually this is missing the bottom. So this is the base, which, so you can see it moves
75280	85920	around and has eyes that light up. There's also lights inside of the blue lights, really good.
85920	96720	So, okay, so the head comes off. I've taken it off, that is. I just had to unscrew some screws,
96720	106240	and I also undid or rather clipped a bunch of the wires. So now it comes apart into really
106240	117320	three nice parts, three nice pieces. So there's this body assembly, oops, let's
117320	127000	select this arm in there. So, okay, more than three pieces, but we'll consider these the
127000	139480	three main components right now. There's the body and arm assembly, the bottom wheels and motors
141480	147880	moving around. And it's pretty simple here, just two motors to move these wheels independently,
147880	162040	and then a couple other wheels for stabilizing. And then there's the head. Looks like this. I have
162040	171960	taken out kind of a cool old circuit board. I might have misplaced it, but that went in the back
171960	180360	here. I don't intend to keep that at least not as part of this project, but I do want to keep
180360	193960	these three main components because I think they kind of serve as neat discrete functions of what I
193960	201560	want to eventually build, which is a working robot that moves around my floor and can interact
201560	214520	with the world around me and with people in different ways. So I want to try and build this as
214520	221240	quickly as I can. I've gotten pretty quick at building software these days using all the latest tools,
221240	230920	but this will be my first time doing actual robotics work. So I'm being fairly ambitious.
231560	239960	But I also think that this is a nice first project for one because I have the materials,
239960	249560	at least some of them. And also, as I said, it's really kind of nicely compartmentalized into
249560	257880	these three pieces. So I think what I'd like to do is work kind of independently on this locomotion
257880	267480	base. So getting something that can just kind of move around this floor. And then in here, I think I'll
267480	276680	put, I think this is kind of a nice compartment that I can put, you know, something's still
276680	286200	wonderful. I'm thinking maybe even like a oatmeal canister, but you know, one of those cardboard
286200	292600	ones and I just stick it in there and I could extract it to see what I then to keep in here,
292600	301400	which is the main computing and power supply. So all of the computational logic.
301880	311480	And then ultimately, and this should not be part of the first 1.0 build, but ultimately, I
311480	322200	really like that these sockets for the arms are really easy to imagine swapping out for other
322200	329080	components. So just imagine having like a vacuum cleaner or just a more capable robotic arm
330040	338440	that we attach to it. So that's kind of the idea for this is to have computer and
339720	349880	just sort of the main interface be in there. And then in the head, of course, I want to have the
349880	359080	input and output components. So some kind of a camera, it already has a speaker in here,
359080	369720	which I'd like to keep using that. So it'll have to have, you know, microphone and camera,
369720	376040	at least one camera. You know, I've got some kind of creative ideas for what to do with the head
376120	384200	as well. I'd also like to get it to move around. You know, get it to swivel. It'd be cool to get it
384200	391960	to be able to pivot up and down as well. But that would maybe be more mechanical engineering
391960	398680	than I can do right now. Also, these arms, you know, if you look at this, it's a fairly complex
400280	405000	assembly. It's got a few joints and different pieces. I haven't opened this up, but
406360	414280	well, this is on a spring. Open that like that. So, you know, you could imagine
415000	423400	something that can bend and unbend these arms. Currently, it's not not very well lubricated, but
423400	433080	I guess it's set up to be sort of set in place. So that's the main assembly. And what I have for
434040	439640	one more thing I'll say about the head. And this is kind of what inspired this, an idea that
440840	447240	I would love to do. Okay. So here's the crazy idea. I got this projector from Amazon,
447720	455880	and it's real cheap. It was like 40 bucks. I'm a little disappointed in how cheaply built it is,
455880	461720	but I guess I should have expected that. But I did try it out, and it works well enough for basically
461720	467960	what I might imagine putting in a robot like this. I mean, actually, you know, it fits inside
467960	474440	this head, too. So imagine, imagine just this yellow part flipping up and this being inside
476280	483400	so that you could have a video screen projected onto a wall. And so this robot could travel
483400	489960	around the house and could interact with you and also show you arbitrary images
490920	498360	that a computer could render. So that's kind of the setup. And my instructions, I think,
498360	507480	would be to sort of set this up as a multi-worker project. So I imagine having different sub agents
507480	512280	that are specialized and even sub-projects specialized to these different components.
512760	519800	And I'm trying to build this quickly, so I want to use everything that I have on hand.
520520	526520	So I think I do have a Raspberry, not a Raspberry Pi. Yes, a Raspberry Pi somewhere
529080	536680	that I could repurpose for this, but I was thinking I could try also to use this chrome box.
536680	546280	Then I got from eBay. I got a bunch of these. This would obviously not be on unbattery,
546280	553720	but I could just plug it in for now. You know, I want to keep the software as familiar as I can to
553720	561640	me. I'm pretty comfortable developing in Python and Docker. So as much as we can work with
562200	570600	sort of the Python, Docker, Linux, open source stack, all the better. And
574040	581480	yeah, I can plan to go to a first store this weekend, but really I want to get as much of this done
581480	589080	as possible using basically this as context. So what I've shown here, and of course I can do follow-ups
589080	595640	as needed, but this is the idea. I wonder what will come of it. I'm excited.
596520	605800	We're just shy of 10 minutes with context. Okay, I'm going to stop.
